Station Name;Channel Name;Channel Nr;Date Time;Value;Status
WLT-05;Vlaga 13;127;1.9.2017 4:00;32,1;0
WLT-05;Vlaga 14;128;1.9.2017 4:00;36,5;0
WLT-05;Vlaga 15;129;1.9.2017 4:00;30,8;0
WLT-06;Vlaga 16;127;1.9.2017 4:00;29,2;0
WLT-06;Vlaga 17;128;1.9.2017 4:00;27,8;0
WLT-06;Vlaga 18;129;1.9.2017 4:00;29,7;0
WLT-01;Vlaga 01;127;1.9.2017 5:00;27,7;0
WLT-01;Vlaga 02;128;1.9.2017 5:00;24,7;0
WLT-01;Vlaga 03;129;1.9.2017 5:00;30,2;0
WLT-02;Vlaga 04;127;1.9.2017 5:00;25,9;0
WLT-02;Vlaga 05;128;1.9.2017 5:00;21;0
WLT-02;Vlaga 06;129;1.9.2017 5:00;1,5;0
WLT-03;Vlaga 07;127;1.9.2017 5:00;31,5;0
WLT-03;Vlaga 08;128;1.9.2017 5:00;29,6;0
WLT-03;Vlaga 09;129;1.9.2017 5:00;23,8;0
WLT-04;Vlaga 10;127;1.9.2017 5:00;27,6;0
WLT-04;Vlaga 11;128;1.9.2017 5:00;28,1;0
WLT-04;Vlaga 12;129;1.9.2017 5:00;30,2;0
WLT-05;Vlaga 13;127;1.9.2017 5:00;32,2;0
WLT-05;Vlaga 14;128;1.9.2017 5:00;36,5;0
WLT-05;Vlaga 15;129;1.9.2017 5:00;30,8;0
WLT-06;Vlaga 16;127;1.9.2017 5:00;29,2;0
WLT-06;Vlaga 17;128;1.9.2017 5:00;27,9;0
WLT-06;Vlaga 18;129;1.9.2017 5:00;29,6;0
WLT-01;Vlaga 01;127;1.9.2017 6:00;27,7;0
WLT-01;Vlaga 02;128;1.9.2017 6:00;24,7;0
WLT-01;Vlaga 03;129;1.9.2017 6:00;30,2;0
WLT-02;Vlaga 04;127;1.9.2017 6:00;25,9;0
WLT-02;Vlaga 05;128;1.9.2017 6:00;21;0
WLT-02;Vlaga 06;129;1.9.2017 6:00;1,4;0
WLT-03;Vlaga 07;127;1.9.2017 6:00;31,5;0
WLT-03;Vlaga 08;128;1.9.2017 6:00;29,6;0
WLT-03;Vlaga 09;129;1.9.2017 6:00;23,8;0
WLT-04;Vlaga 10;127;1.9.2017 6:00;27,7;0
WLT-04;Vlaga 11;128;1.9.2017 6:00;28,1;0
WLT-04;Vlaga 12;129;1.9.2017 6:00;30,2;0
WLT-05;Vlaga 13;127;1.9.2017 6:00;32,2;0
WLT-05;Vlaga 14;128;1.9.2017 6:00;36,5;0
WLT-05;Vlaga 15;129;1.9.2017 6:00;30,8;0
WLT-06;Vlaga 16;127;1.9.2017 6:00;29,2;0
WLT-06;Vlaga 17;128;1.9.2017 6:00;27,9;0
WLT-06;Vlaga 18;129;1.9.2017 6:00;29,7;0
WLT-01;Vlaga 01;127;1.9.2017 7:00;27,8;0
WLT-01;Vlaga 02;128;1.9.2017 7:00;24,7;0
WLT-01;Vlaga 03;129;1.9.2017 7:00;30,2;0
WLT-02;Vlaga 04;127;1.9.2017 7:00;26,1;0
WLT-02;Vlaga 05;128;1.9.2017 7:00;21,1;0
WLT-02;Vlaga 06;129;1.9.2017 7:00;1,5;0
WLT-03;Vlaga 07;127;1.9.2017 7:00;31,5;0
WLT-03;Vlaga 08;128;1.9.2017 7:00;29,7;0
WLT-03;Vlaga 09;129;1.9.2017 7:00;23,8;0
WLT-04;Vlaga 10;127;1.9.2017 7:00;27,7;0
WLT-04;Vlaga 11;128;1.9.2017 7:00;28,1;0
WLT-04;Vlaga 12;129;1.9.2017 7:00;30,2;0
WLT-05;Vlaga 13;127;1.9.2017 7:00;32,2;0
WLT-05;Vlaga 14;128;1.9.2017 7:00;36,5;0
WLT-05;Vlaga 15;129;1.9.2017 7:00;30,8;0
WLT-06;Vlaga 16;127;1.9.2017 7:00;29,2;0
WLT-06;Vlaga 17;128;1.9.2017 7:00;28;0
WLT-06;Vlaga 18;129;1.9.2017 7:00;29,7;0
WLT-01;Vlaga 01;127;1.9.2017 8:00;27,8;0
WLT-01;Vlaga 02;128;1.9.2017 8:00;24,8;0
WLT-01;Vlaga 03;129;1.9.2017 8:00;30,2;0
WLT-02;Vlaga 04;127;1.9.2017 8:00;26,1;0
WLT-02;Vlaga 05;128;1.9.2017 8:00;21,2;0
WLT-02;Vlaga 06;129;1.9.2017 8:00;1,5;0
WLT-03;Vlaga 07;127;1.9.2017 8:00;31,5;0
WLT-03;Vlaga 08;128;1.9.2017 8:00;29,7;0
WLT-03;Vlaga 09;129;1.9.2017 8:00;23,8;0
WLT-04;Vlaga 10;127;1.9.2017 8:00;27,7;0
WLT-04;Vlaga 11;128;1.9.2017 8:00;28,1;0
WLT-04;Vlaga 12;129;1.9.2017 8:00;30,2;0
WLT-05;Vlaga 13;127;1.9.2017 8:00;32,2;0
WLT-05;Vlaga 14;128;1.9.2017 8:00;36,5;0
WLT-05;Vlaga 15;129;1.9.2017 8:00;30,8;0
WLT-06;Vlaga 16;127;1.9.2017 8:00;29,3;0
WLT-06;Vlaga 17;128;1.9.2017 8:00;28;0
WLT-06;Vlaga 18;129;1.9.2017 8:00;29,7;0
WLT-01;Vlaga 01;127;1.9.2017 9:00;27,8;0
WLT-01;Vlaga 02;128;1.9.2017 9:00;24,9;0
WLT-01;Vlaga 03;129;1.9.2017 9:00;30,2;0
WLT-02;Vlaga 04;127;1.9.2017 9:00;26,1;0
WLT-02;Vlaga 05;128;1.9.2017 9:00;21;0
WLT-02;Vlaga 06;129;1.9.2017 9:00;1,4;0
WLT-03;Vlaga 07;127;1.9.2017 9:00;31,5;0
WLT-03;Vlaga 08;128;1.9.2017 9:00;29,7;0
WLT-03;Vlaga 09;129;1.9.2017 9:00;23,8;0
WLT-04;Vlaga 10;127;1.9.2017 9:00;27,7;0
WLT-04;Vlaga 11;128;1.9.2017 9:00;28,1;0
WLT-04;Vlaga 12;129;1.9.2017 9:00;30,2;0
WLT-05;Vlaga 13;127;1.9.2017 9:00;32,2;0
WLT-05;Vlaga 14;128;1.9.2017 9:00;36,5;0
WLT-05;Vlaga 15;129;1.9.2017 9:00;30,8;0
WLT-06;Vlaga 16;127;1.9.2017 9:00;29,2;0
WLT-06;Vlaga 17;128;1.9.2017 9:00;28;0
WLT-06;Vlaga 18;129;1.9.2017 9:00;33;0
WLT-01;Vlaga 01;127;1.9.2017 10:00;27,8;0
WLT-01;Vlaga 02;128;1.9.2017 10:00;24,9;0
WLT-01;Vlaga 03;129;1.9.2017 10:00;30,2;0
WLT-02;Vlaga 04;127;1.9.2017 10:00;26,1;0
WLT-02;Vlaga 05;128;1.9.2017 10:00;21,1;0
WLT-02;Vlaga 06;129;1.9.2017 10:00;1,3;0
WLT-03;Vlaga 07;127;1.9.2017 10:00;31,5;0
WLT-03;Vlaga 08;128;1.9.2017 10:00;29,7;0
WLT-03;Vlaga 09;129;1.9.2017 10:00;23,8;0
